"Name","Live Bytes","Live Objects"
"org.apache.commons.logging.LogAdapter$Slf4jLocationAwareLog","10,056 B (0%)","419 (0%)"
"org.springframework.core.convert.converter.GenericConverter$ConvertiblePair","9,816 B (0%)","409 (0%)"
"java.lang.invoke.LambdaForm$NamedFunction","9,792 B (0%)","306 (0%)"
"org.springframework.beans.BeanMetadataAttribute","9,792 B (0%)","408 (0%)"
"java.lang.module.ModuleDescriptor$Requires","9,760 B (0%)","305 (0%)"
"java.beans.MethodRef","9,696 B (0%)","404 (0%)"
"java.io.ObjectStreamClass$FieldReflectorKey","9,680 B (0%)","242 (0%)"
"org.thymeleaf.processor.element.MatchingAttributeName","9,664 B (0%)","302 (0%)"
"org.springframework.boot.context.properties.source.ConfigurationPropertyName$ElementType[]","9,280 B (0%)","232 (0%)"
"java.util.logging.LogManager$LoggerWeakRef","9,168 B (0%)","191 (0%)"
"org.h2.value.ValueArray","9,056 B (0%)","283 (0%)"
"jdk.internal.loader.NativeLibraries","9,024 B (0%)","282 (0%)"
"org.springframework.data.util.Lazy","8,856 B (0%)","369 (0%)"
"sun.nio.fs.UnixFileAttributes","8,832 B (0%)","69 (0%)"
"java.lang.invoke.DirectMethodHandle$Special","8,600 B (0%)","215 (0%)"
"org.springframework.util.ConcurrentReferenceHashMap$Segment[]","8,480 B (0%)","106 (0%)"
"org.springframework.core.annotation.AnnotationTypeMappings[]","8,464 B (0%)","316 (0%)"
"org.springframework.core.annotation.MergedAnnotation[]","8,440 B (0%)","315 (0%)"
"org.springframework.beans.factory.annotation.AnnotatedGenericBeanDefinition","8,400 B (0%)","75 (0%)"
"java.util.zip.Inflater","8,384 B (0%)","131 (0%)"
"java.lang.module.ModuleDescriptor","8,320 B (0%)","130 (0%)"
"jdk.internal.reflect.NativeMethodAccessorImpl","8,256 B (0%)","344 (0%)"
"org.h2.value.DataType","8,160 B (0%)","102 (0%)"
"javax.management.ObjectName$Property[]","8,152 B (0%)","264 (0%)"
"java.util.concurrent.CopyOnWriteArraySet","8,112 B (0%)","507 (0.1%)"
"org.springframework.beans.factory.support.MethodOverrides","8,064 B (0%)","504 (0.1%)"
"java.beans.MethodDescriptor","8,064 B (0%)","144 (0%)"
"java.util.jar.JarFile$JarFileEntry","8,064 B (0%)","84 (0%)"
"java.io.ObjectInputStream$HandleTable$HandleList[]","7,968 B (0%)","114 (0%)"
"java.util.WeakHashMap$Entry","7,920 B (0%)","198 (0%)"
"sun.security.util.KnownOIDs","7,904 B (0%)","247 (0%)"
"java.util.ImmutableCollections$SetN","7,896 B (0%)","329 (0%)"
"org.apache.logging.slf4j.SLF4JLogger","7,840 B (0%)","196 (0%)"
"java.lang.Thread","7,728 B (0%)","21 (0%)"
"org.springframework.core.annotation.MergedAnnotationsCollection","7,560 B (0%)","315 (0%)"
"com.sun.proxy.$Proxy33","7,424 B (0%)","464 (0.1%)"
"java.lang.invoke.MethodTypeForm","7,232 B (0%)","226 (0%)"
"jdk.internal.module.ModuleReferenceImpl","7,224 B (0%)","129 (0%)"
"org.apache.tomcat.util.buf.ByteChunk","7,200 B (0%)","150 (0%)"
"org.thymeleaf.engine.HTMLAttributeDefinition","7,040 B (0%)","220 (0%)"
"org.springframework.beans.GenericTypeAwarePropertyDescriptor","7,008 B (0%)","73 (0%)"
"org.springframework.boot.autoconfigure.condition.ConditionOutcome","6,960 B (0%)","290 (0%)"
"org.springframework.boot.autoconfigure.condition.ConditionEvaluationReport$ConditionAndOutcome","6,960 B (0%)","290 (0%)"
"jdk.internal.reflect.DelegatingMethodAccessorImpl","6,944 B (0%)","434 (0%)"
